carat,cut,color,clarity,depth,table,price,volume
1.25,ideal,h,vs2,60.0,56.0,6944,207.17241
1.19,premium,h,vs2,61.1,58.0,6944,192.63878
1.06,ideal,i,vvs1,60.2,57.0,6945,176.3568
1.28,premium,h,si1,62.3,58.0,6946,210.83722
1.06,premium,f,vs2,62.2,57.0,6947,175.30699
1.22,ideal,h,vs2,61.4,57.0,6947,199.16922
1.1,very good,g,vs1,60.3,62.0,6951,181.08249
0.95,ideal,g,if,59.8,59.0,6951,156.21812
1.09,premium,g,vs1,62.5,59.0,6951,176.16798
1.01,ideal,g,vs1,62.7,56.0,6951,162.56
1.01,ideal,g,vs1,62.4,58.0,6951,164.3508
1.11,very good,g,vs2,62.2,57.0,6953,176.8107
1.16,ideal,h,vs2,62.1,57.0,6954,188.02946
1.2,very good,f,si1,63.3,58.0,6955,182.07704
1.04,ideal,g,vs2,60.5,57.0,6955,173.27454
1.15,premium,g,vs2,62.9,58.0,6955,185.84325
1.01,very good,e,vs2,62.6,59.0,6956,161.90024
1.2,ideal,h,vs2,62.2,55.0,6956,195.87437
1.01,ideal,e,vs2,61.4,57.0,6956,166.1842
1.0,very good,f,vs2,62.8,57.0,6957,158.56775
1.23,premium,h,vs2,62.4,61.0,6957,198.43082
1.21,ideal,g,si1,62.1,57.0,6958,196.1692
1.0,good,e,vs2,58.2,60.0,6958,162.03503
1.24,ideal,h,si1,61.6,57.0,6958,200.69107
1.18,ideal,g,si1,62.0,56.0,6960,192.78168
1.35,very good,i,vs2,62.1,62.0,6961,213.75247
1.08,ideal,h,vvs1,62.5,54.0,6961,176.97568
1.72,very good,f,i1,60.5,59.0,6962,282.0472
1.12,ideal,h,si1,61.6,56.0,6962,182.29987
1.11,ideal,h,vvs2,61.4,57.0,6962,180.42618
1.24,premium,h,vs2,61.7,59.0,6962,200.40105
1.22,very good,g,vs2,63.1,56.0,6962,199.41682
1.11,premium,d,si1,62.0,58.0,6962,183.18697
1.33,premium,i,vs1,61.5,58.0,6963,214.59999
1.33,good,i,vs1,63.7,56.0,6963,212.88135
1.33,premium,e,si2,62.5,58.0,6963,215.23189
1.21,premium,e,si1,62.3,58.0,6963,192.10146
1.01,ideal,g,vs2,62.6,56.0,6964,165.9472
1.24,premium,d,si2,61.4,59.0,6965,200.80528
1.56,good,j,vs2,57.6,65.0,6966,253.65456
1.55,ideal,j,si2,62.3,54.0,6966,252.44177
1.01,premium,g,vvs2,60.9,59.0,6968,172.39441
1.01,ideal,e,vs2,61.3,57.0,6968,166.44383
1.02,ideal,g,vs1,62.0,55.0,6968,167.58594
1.2,ideal,h,si1,61.1,56.0,6968,200.1451
1.01,very good,g,vvs2,63.4,55.0,6968,164.18318
1.01,good,e,vs2,63.9,59.0,6968,161.62183
1.73,premium,h,si2,60.5,60.0,6968,281.68564
1.01,premium,e,vs2,62.2,58.0,6968,161.84738
1.22,premium,g,si2,62.4,61.0,6969,195.02034
1.39,good,f,si2,63.8,55.0,6969,225.11215
0.32,ideal,d,si2,61.7,55.0,612,52.227123
0.32,ideal,d,si2,59.5,57.0,612,53.70705
0.32,good,d,si2,63.9,58.0,612,51.50795
0.32,premium,g,si1,62.8,56.0,612,51.658157
0.34,premium,i,vs2,62.1,57.0,612,55.098625
0.34,premium,i,vs2,61.8,58.0,612,56.169346
0.34,premium,h,si1,60.2,58.0,612,54.876415
0.34,premium,h,si1,62.1,59.0,612,55.794598
0.34,ideal,e,si2,62.4,57.0,612,56.322
0.34,premium,e,si2,59.9,59.0,612,56.76626
0.34,premium,e,si2,61.7,58.0,612,56.9997
0.34,premium,e,si2,61.5,58.0,612,56.216595
0.34,premium,e,si2,62.4,59.0,612,54.605564
0.34,premium,e,si2,62.5,59.0,612,54.92668
0.34,good,e,si2,63.7,55.0,612,55.91457
0.34,ideal,e,si2,62.9,56.0,612,56.020157
0.32,premium,g,si1,62.5,58.0,612,53.79792
0.32,premium,g,si1,60.9,58.0,612,52.432404
0.32,ideal,g,si1,61.3,57.0,612,51.723324
0.32,ideal,g,si1,62.5,55.0,612,52.01469
0.32,ideal,d,si2,61.8,55.0,612,52.65811
0.32,ideal,d,si2,61.1,56.0,612,52.078133
0.32,ideal,d,si2,59.8,57.0,612,52.003605
0.32,good,d,si2,63.7,56.0,612,51.86647
0.32,ideal,d,si2,62.8,57.0,612,52.20522
0.32,ideal,d,si2,62.4,54.0,612,52.805283
0.32,ideal,d,si2,62.6,56.0,612,52.998005
0.34,premium,e,si1,59.3,58.0,612,56.597004
0.32,ideal,g,si1,61.4,57.0,612,52.15266
0.32,ideal,g,si1,61.6,57.0,612,52.464516
1.2,good,e,si1,64.0,61.0,6969,187.37698
1.22,premium,d,si2,61.9,60.0,6969,198.94757
1.09,ideal,h,si1,61.4,56.0,6970,178.63394
1.71,good,f,si2,63.7,54.0,6971,273.8044
1.56,premium,f,si2,63.0,58.0,6971,249.34727
1.1,ideal,g,vs2,60.2,56.0,6972,182.8899
1.21,very good,h,vs1,63.4,55.0,6973,197.9531
1.2,very good,f,si1,62.7,58.0,6973,191.13559
1.36,ideal,j,vvs2,61.9,56.0,6973,225.64455
1.02,very good,d,vs2,62.7,58.0,6974,163.98495
1.03,premium,d,vs1,59.6,61.0,6974,170.92906
1.21,premium,h,vs2,59.3,60.0,6974,200.06009
1.01,very good,g,vvs2,63.3,57.0,6975,160.41766
1.51,premium,j,si1,61.2,62.0,6976,241.89964
1.51,very good,j,si1,63.5,58.0,6976,243.31395
1.51,fair,j,si1,63.4,60.0,6976,240.90982
1.5,premium,h,si2,61.2,61.0,6979,238.52724
1.45,very good,j,vs2,62.6,58.0,6980,235.6041
1.13,ideal,i,vs1,61.9,55.0,6980,185.01245
1.13,ideal,i,vs1,61.8,57.0,6980,184.28885
1.05,ideal,g,vs2,61.6,59.0,6981,171.1531
1.03,ideal,g,vs2,61.3,57.0,6981,170.3016
1.06,ideal,d,vs2,62.5,54.0,6981,176.7018
1.52,good,j,vs2,63.1,61.0,6982,236.52585
1.08,premium,g,vs1,62.9,55.0,6982,177.99474
1.08,premium,g,vs1,62.7,56.0,6982,175.0946
1.11,ideal,g,vs2,61.2,56.0,6982,181.24176
1.1,ideal,g,vs1,61.5,57.0,6984,179.61383
1.2,very good,f,si1,61.9,58.0,6985,193.34698
1.5,very good,j,si1,62.5,58.0,6987,239.61937
1.1,very good,f,vs2,61.1,57.0,6987,182.05573
1.5,very good,j,si1,62.7,58.0,6987,237.97409
1.29,premium,h,vs2,62.4,57.0,6987,209.62895
1.41,premium,d,si2,61.1,56.0,6988,225.16924
1.0,premium,g,vs1,62.9,60.0,6989,159.21751
1.23,ideal,i,vvs1,62.1,57.0,6989,200.76103
1.0,premium,g,vs1,58.6,61.0,6989,163.56015
1.0,ideal,e,vs2,61.5,55.0,6989,165.41719
1.09,very good,f,vs2,61.4,54.0,6990,182.95018
1.58,premium,f,si2,60.7,60.0,6990,258.77808
1.24,ideal,g,si1,60.5,60.0,6994,202.28331
1.01,very good,e,vs1,62.0,57.0,6996,164.03491
1.56,very good,j,si2,58.3,63.0,6996,262.96115
1.4,good,h,si2,62.5,57.0,6996,222.68591
1.04,premium,g,vs1,62.0,56.0,6996,170.00072
1.01,very good,e,vs1,62.1,58.0,6997,164.44983
1.23,very good,h,si1,60.3,58.0,6997,202.09543
1.07,very good,g,vs1,60.9,55.0,6998,176.61072
1.01,good,d,vs2,62.1,59.0,6998,156.32178
1.31,ideal,i,vs2,61.7,55.0,6999,216.19499
1.01,very good,f,vs1,62.8,58.0,6999,161.13535
1.01,ideal,d,vs2,59.8,56.0,6999,164.60458
1.01,good,f,vs1,63.3,60.0,6999,160.92934
1.01,premium,f,vs1,61.3,58.0,6999,166.69554
1.01,good,d,vs2,63.1,60.0,6999,163.11752
1.24,premium,f,si1,61.6,59.0,7000,200.69617
1.26,very good,g,si1,63.2,61.0,7000,202.10991
1.01,very good,d,vs2,60.6,56.0,7001,165.01875
1.01,very good,f,vs1,63.7,56.0,7001,159.15329
1.01,good,f,vvs2,65.9,54.0,7001,158.86926
1.3,premium,d,si2,60.2,59.0,7002,208.7505
1.0,very good,e,vs1,61.2,57.0,7002,164.32828
1.21,ideal,i,vvs2,62.7,56.0,7002,198.31589
1.06,very good,g,vs1,62.0,58.0,7003,172.95769
1.16,premium,f,vs2,62.7,58.0,7003,186.9641
1.27,premium,g,si1,61.4,59.0,7005,206.84392
2.23,very good,g,i1,63.5,57.0,7006,352.7049
0.91,premium,e,vvs2,61.1,61.0,7006,147.01439
1.39,premium,h,vs2,62.5,59.0,7006,227.04523
1.0,good,g,vvs1,63.8,60.0,7007,161.87674
1.05,very good,g,vs1,62.3,56.0,7010,169.63759
1.01,ideal,e,vs2,61.9,57.0,7013,162.19803
1.01,ideal,f,vs2,61.9,54.0,7014,167.44199
1.04,ideal,f,vs1,61.4,57.0,7015,171.24947
1.34,ideal,i,vs1,62.2,57.0,7016,217.07806
1.0,good,f,vvs2,56.5,63.0,7016,165.08624
1.13,ideal,g,vs2,62.7,56.0,7016,182.85904
1.01,premium,f,vs1,60.8,59.0,7017,161.65698
1.2,ideal,e,si2,62.0,57.0,7018,195.70673
1.51,premium,h,si2,62.3,62.0,7018,238.02519
1.04,premium,e,vs2,62.4,58.0,7019,174.23885
2.11,fair,f,i1,67.6,57.0,7019,327.62912
1.01,very good,g,vs1,63.6,57.0,7021,162.90251
1.1,premium,g,vs2,59.4,60.0,7022,182.70203
1.52,good,j,si1,63.6,60.0,7022,240.45349
1.27,ideal,e,si2,60.8,57.0,7023,209.33641
2.01,good,h,i1,63.9,59.0,7024,322.90555
1.05,premium,f,vs2,62.6,58.0,7025,170.7433
1.28,ideal,i,vs1,61.3,57.0,7025,210.20828
2.05,good,g,i1,56.9,58.0,7026,334.93988
1.0,good,d,vs2,60.7,61.0,7026,161.24161
1.02,ideal,f,vs2,62.0,57.0,7026,166.4096
1.05,ideal,g,vs1,61.3,57.0,7027,171.77158
1.05,ideal,g,vs2,61.7,57.0,7028,173.06067
1.27,very good,i,vs1,60.6,59.0,7031,207.7532
1.01,premium,d,vs2,60.4,58.0,7032,167.48112
1.01,premium,d,vs2,62.2,61.0,7032,163.01721
1.15,premium,g,vs1,63.0,60.0,7032,184.28783
1.09,premium,g,vs2,61.0,59.0,7032,177.3156
1.51,premium,j,si1,62.3,58.0,7034,244.00105
1.04,ideal,f,vs2,60.1,59.0,7035,173.45605
1.29,ideal,h,si1,62.1,55.0,7036,211.44481
1.02,ideal,f,vs2,62.8,57.0,7037,163.47809
1.01,very good,f,vs2,61.1,58.0,7037,166.27843
1.21,ideal,i,vs1,61.8,56.0,7037,198.48048
1.05,ideal,g,vs1,62.5,56.0,7037,172.48335
1.32,ideal,e,si2,62.7,56.0,7037,215.10605
1.19,ideal,e,si1,61.3,57.0,7037,194.4214
1.14,ideal,i,vs1,61.1,56.0,7038,187.43857
1.01,very good,e,vs1,62.2,56.0,7039,163.01921
1.15,very good,h,vs1,62.5,56.0,7040,186.79584
1.04,premium,d,vs1,60.8,58.0,7041,168.0822
1.14,good,g,vs1,63.4,58.0,7042,185.61345
1.14,ideal,g,vs2,61.5,57.0,7042,184.94514
1.25,ideal,i,vs1,61.4,58.0,7042,202.45024
1.04,ideal,g,vs2,61.3,57.0,7044,171.77557
1.3,premium,d,si2,61.5,58.0,7044,205.94978
1.04,premium,e,vs2,61.1,59.0,7047,171.6096
1.21,good,g,vs2,64.1,58.0,7047,193.30995
1.21,ideal,h,vs1,60.5,57.0,7047,198.24513
1.04,good,g,vs1,63.8,57.0,7049,168.31169
1.04,very good,g,vs1,61.8,58.0,7049,171.57726
1.24,very good,h,si1,60.8,60.0,7050,201.60007
1.12,good,f,vs2,63.8,57.0,7051,183.38719
1.3,ideal,h,si1,62.2,56.0,7054,213.9426
1.11,premium,g,vs2,61.5,58.0,7055,181.13712
1.09,ideal,h,vvs1,61.4,56.0,7055,181.14119
1.02,ideal,g,vs1,61.4,57.0,7055,166.60478
1.26,premium,h,si1,61.3,57.0,7056,207.43361
1.5,fair,f,si2,64.7,59.0,7056,230.72325
1.0,premium,f,vs1,62.0,59.0,7056,161.43732
1.0,premium,f,vs1,59.2,60.0,7056,151.48555
1.0,premium,f,vs1,59.2,60.0,7056,162.91043
1.0,premium,f,vs1,62.7,55.0,7056,161.64528
1.01,ideal,f,vs1,61.7,59.0,7056,164.13885
1.05,premium,e,vs2,62.1,58.0,7056,172.1655
1.5,fair,f,si2,65.3,57.0,7056,235.72478
1.0,ideal,f,vs1,61.7,55.0,7056,162.044
1.5,premium,f,si2,62.4,58.0,7056,240.27676
1.5,premium,i,si2,62.2,61.0,7056,233.72963
1.34,ideal,g,si2,61.1,56.0,7058,220.5202
1.01,ideal,g,vs1,59.1,55.0,7059,167.22025
1.32,ideal,i,vs2,61.7,59.0,7059,215.89833
1.14,ideal,h,vs2,62.0,55.0,7059,187.57938
1.01,good,f,vvs2,63.6,60.0,7059,161.73035
1.22,premium,f,si1,62.5,59.0,7059,196.80644
1.01,premium,g,vs1,60.7,58.0,7059,167.14346
1.01,premium,f,vs2,62.5,59.0,7062,161.23457
1.51,good,j,vs2,64.0,58.0,7062,244.22546
1.05,premium,g,vs1,61.6,58.0,7063,168.73921
1.05,ideal,g,vs1,62.0,56.0,7063,170.26389
1.03,ideal,g,vs2,61.6,55.0,7064,170.20285
1.19,good,e,vs2,57.4,60.0,7064,192.717
1.13,ideal,d,si1,61.4,56.0,7066,185.77327
1.55,very good,h,si1,63.2,57.0,7066,249.30023
1.02,good,f,vs1,63.7,57.0,7068,164.74059
1.7,ideal,h,i1,62.6,54.1,7068,275.87485
1.01,premium,g,vvs2,61.2,59.0,7068,159.65
1.07,ideal,g,vs1,61.8,55.0,7069,175.24788
2.25,fair,g,i1,64.9,58.0,7069,349.41983
1.05,ideal,g,vs2,62.2,54.0,7070,174.08003
1.0,premium,f,vs2,59.0,59.0,7072,163.9153
1.2,very good,h,vs2,62.5,60.0,7072,192.26994
1.62,very good,j,si2,61.6,60.0,7072,268.3046
1.2,ideal,h,vs2,62.8,57.0,7072,194.78813
1.2,ideal,h,vs2,61.2,59.0,7072,197.93591
1.16,ideal,g,vs2,62.3,57.0,7074,186.62918
1.16,premium,g,vs2,59.9,60.0,7074,193.69608
1.1,ideal,g,vs2,62.5,54.0,7074,179.7383
1.2,ideal,e,si1,62.3,55.0,7074,196.63084
1.06,ideal,f,vs2,61.0,57.0,7075,174.31523
1.17,very good,g,vs2,63.2,57.0,7076,191.92278
1.08,fair,g,vs1,64.7,60.0,7076,171.72646
1.5,premium,d,si2,59.6,59.0,7076,251.43034
1.02,ideal,g,vs1,61.1,56.0,7077,169.87585
1.02,ideal,f,vs2,62.0,55.0,7078,169.0611
1.09,ideal,g,vs1,60.5,57.0,7078,182.79622
1.06,very good,e,vs2,61.0,60.0,7079,171.60841
1.32,ideal,i,vs2,60.8,57.0,7079,212.42241
1.01,very good,f,vs1,62.5,60.0,7079,162.66273
1.2,ideal,i,vvs2,62.9,55.0,7079,195.24646
1.14,ideal,h,si1,61.8,56.0,7079,185.84293
1.14,ideal,h,si1,61.6,56.0,7079,187.51218
1.14,ideal,h,si1,61.5,55.0,7079,187.79037
1.14,premium,g,vs2,60.9,57.0,7079,188.2704
1.32,ideal,f,si1,61.6,56.0,7079,218.5472
1.08,premium,f,vs2,62.8,59.0,7079,173.32806
1.14,premium,g,vs2,61.4,60.0,7079,184.22171
1.2,very good,i,vvs1,62.6,56.0,7080,190.11517
1.29,ideal,g,vs2,62.9,57.0,7080,206.62697
1.59,fair,i,si2,65.2,58.0,7080,249.30505
1.09,ideal,g,vs2,62.4,55.0,7081,178.21617
1.0,fair,d,vs1,55.9,60.0,7083,198.96895
1.0,good,e,vvs1,64.1,62.0,7084,158.28911
1.4,ideal,h,si2,61.2,56.0,7084,228.92926
1.22,ideal,e,si1,61.7,56.0,7085,202.81691
1.21,ideal,i,vvs1,61.6,55.0,7086,196.96065
1.48,premium,i,si2,61.3,58.0,7086,243.96756
1.3,very good,i,vs2,61.8,56.0,7087,212.77272
1.18,ideal,d,si1,61.9,55.0,7087,193.0656
1.33,ideal,h,si1,62.7,56.0,7088,216.52223
1.21,ideal,e,si1,62.3,56.0,7088,199.30283
1.72,premium,f,i1,60.5,59.0,7089,282.0472
1.23,premium,h,vs2,62.9,57.0,7089,198.19312
1.33,premium,i,vs1,61.5,58.0,7090,214.59999
1.33,good,i,vs1,63.7,56.0,7090,212.88135
1.33,premium,e,si2,62.5,58.0,7090,215.23189
1.12,ideal,h,vvs2,62.3,53.0,7091,185.07007
1.02,ideal,f,vs1,60.7,56.0,7091,172.22159
1.24,premium,h,vs1,62.2,59.0,7092,201.23228
1.24,very good,h,vs1,62.6,54.0,7092,201.88397
1.3,very good,h,vs2,62.5,59.0,7092,209.33035
1.13,very good,f,vs1,61.6,58.0,7092,180.59314
1.18,very good,d,si1,61.7,57.0,7093,195.81552
1.01,very good,e,vs2,60.4,60.0,7094,162.50052
1.21,premium,h,vs1,62.3,58.0,7094,196.34082
1.01,very good,e,vs1,60.9,55.0,7094,169.70084
1.56,good,j,vs2,57.6,65.0,7094,253.65456
1.16,fair,f,vs1,57.8,67.0,7094,190.22246
1.38,ideal,g,si2,61.4,55.0,7094,227.66183
1.15,ideal,i,vs1,61.7,56.0,7096,189.25836
1.0,premium,e,vs1,63.0,60.0,7096,161.2864
1.2,good,e,si1,64.0,61.0,7096,187.37698
1.39,good,f,si2,63.8,55.0,7096,225.11215
1.01,very good,f,vs2,62.1,57.0,7098,163.27313
1.5,very good,g,si2,63.2,58.0,7098,237.70139
1.5,premium,g,si2,62.1,60.0,7098,242.59583
1.5,fair,h,si2,59.3,58.0,7098,234.35493
1.28,ideal,h,vs2,62.3,56.0,7098,207.46065
1.28,premium,h,vs2,61.2,60.0,7098,206.65515
1.14,ideal,g,vs2,60.5,60.0,7099,186.90277
1.63,ideal,f,i1,62.0,55.1,7100,265.707
1.15,ideal,h,si1,61.6,55.0,7100,190.83838
1.02,premium,d,vs2,62.7,58.0,7101,163.98495
1.03,very good,d,vs2,63.3,57.0,7102,167.0755
1.29,good,i,vs2,57.9,61.0,7102,211.35031
1.51,ideal,g,si2,61.8,57.0,7103,244.59113
1.36,premium,i,vs2,61.9,56.0,7104,223.86746
1.22,premium,h,vs1,62.7,56.0,7105,195.3589
1.24,very good,g,si1,61.8,58.0,7106,205.54274
1.14,very good,d,si1,60.2,60.0,7106,187.25159
1.41,premium,h,si2,59.1,57.0,7106,237.13779
1.01,very good,f,vs1,63.2,58.0,7107,160.2752
1.31,very good,g,si2,62.2,58.0,7107,214.55124
1.13,ideal,h,vvs2,59.7,59.0,7108,190.3128
1.52,ideal,g,si2,61.9,57.0,7108,251.13698
1.11,ideal,g,vs2,61.7,56.0,7109,180.76572
1.52,very good,j,vs2,63.1,61.0,7109,236.52585
1.28,ideal,h,si1,61.8,57.0,7109,211.375
1.08,ideal,f,vs2,61.9,55.0,7110,178.69702
1.21,ideal,i,vs1,61.7,53.0,7111,203.1117
1.1,ideal,g,vs1,61.5,57.0,7111,179.61383
1.21,very good,h,vs2,59.1,59.0,7113,200.15164
1.16,ideal,g,vs2,61.7,57.0,7113,190.55232
1.0,good,d,vs2,63.1,56.0,7114,163.63008
1.2,very good,f,vs2,62.4,58.0,7114,194.44466
1.0,premium,f,vs1,62.6,58.0,7114,163.072
1.0,ideal,g,vs1,62.7,53.0,7114,166.35599
1.1,premium,f,vs2,61.1,57.0,7115,182.05573
1.23,ideal,i,vvs1,62.1,57.0,7117,200.76103
1.07,very good,f,vs1,62.0,58.0,7118,176.64891
1.02,ideal,d,vs1,62.7,55.0,7118,167.80544
1.32,very good,h,si1,62.4,58.0,7119,218.99593
1.03,ideal,g,vs1,62.0,57.0,7119,167.18399
1.03,ideal,g,vs1,61.7,54.0,7119,169.68236
0.94,ideal,f,vs2,61.2,57.0,7120,153.6886
1.01,ideal,f,vs1,62.2,57.0,7122,165.3696
1.06,premium,e,vs2,61.4,60.0,7123,172.46646
1.59,premium,f,si2,62.2,58.0,7123,258.91428
1.15,ideal,h,vs1,62.7,57.0,7123,184.96118
1.32,very good,i,vs2,60.5,59.0,7125,211.13072
1.51,very good,j,si1,60.6,57.0,7125,247.74661
1.27,very good,h,si1,62.3,58.0,7125,205.01454
1.29,ideal,f,si2,61.9,55.0,7126,210.46826
1.01,premium,f,vs1,61.3,58.0,7127,166.69554
1.01,very good,f,vs1,63.3,60.0,7127,160.92934
1.01,ideal,d,vs2,59.8,56.0,7127,164.60458
1.01,good,e,vs1,63.8,60.0,7127,154.97125
1.01,very good,d,vs2,63.1,60.0,7127,163.11752
1.01,premium,f,vs1,62.4,61.0,7127,161.7488
1.44,very good,h,si2,58.2,61.0,7128,243.38033
1.16,ideal,g,vs2,60.7,58.0,7128,193.8739
1.02,premium,g,vs1,61.0,61.0,7129,171.8696
1.02,ideal,g,vs1,61.6,55.0,7129,168.7352
1.23,ideal,h,vs2,62.2,55.0,7130,198.25612
1.06,premium,g,vs1,62.0,58.0,7130,172.95769
1.06,premium,g,vs1,62.8,56.0,7130,172.11235
1.3,premium,d,si2,60.2,59.0,7130,208.7505
1.19,premium,g,vs2,62.3,58.0,7130,195.30504
0.91,very good,e,vvs2,61.1,61.0,7131,147.01439
2.27,fair,g,i1,68.6,56.0,7131,347.02005
1.06,very good,g,vs1,61.7,57.0,7132,172.79564
1.27,premium,g,si1,61.4,59.0,7133,206.84392
1.21,ideal,i,vvs2,62.2,55.0,7134,196.1692
1.0,good,g,vvs1,63.8,60.0,7134,161.87674
1.01,very good,f,vs2,63.8,55.0,7135,163.0441
1.51,very good,j,si1,62.4,58.0,7136,242.13463
1.11,ideal,h,vvs2,61.2,56.0,7136,185.59938
1.01,very good,g,vvs2,62.5,54.0,7137,163.5832
0.32,ideal,g,si1,60.9,57.0,612,53.664505
0.32,ideal,g,si1,60.8,56.0,612,53.905155
0.32,premium,g,si1,60.5,59.0,612,51.925358
0.32,ideal,d,si2,61.4,56.0,612,53.938793
0.31,good,h,vvs1,63.7,56.0,612,51.202255
0.31,premium,h,vvs1,61.8,59.0,612,50.47834
0.3,very good,f,vvs2,64.1,55.0,613,48.373497
0.3,very good,f,vvs2,64.2,56.0,613,48.897984
0.31,very good,i,vvs1,57.7,62.0,613,53.323086
0.32,very good,f,vs1,59.1,59.0,613,52.63104
0.41,ideal,j,vs2,62.4,55.0,613,67.29277
0.41,ideal,j,vs2,62.4,53.0,613,69.407104
0.41,ideal,j,vs2,62.2,54.0,613,67.71719
0.41,ideal,j,vs2,61.7,55.0,613,68.71393
0.41,ideal,j,vs2,62.3,54.0,613,68.23008
0.37,ideal,e,si1,61.0,56.0,613,62.15507
0.3,good,f,vvs2,66.0,55.0,613,48.862522
0.5,fair,f,i1,71.0,57.0,613,80.012634
0.37,very good,h,si1,62.6,63.0,613,58.994995
0.5,fair,f,i1,68.4,54.0,613,79.76618
0.33,very good,h,vvs2,61.6,56.0,614,54.38023
0.33,very good,h,vvs2,61.9,55.0,614,54.4566
0.33,very good,h,vvs2,61.8,57.0,614,54.13637
0.33,very good,h,vvs2,61.9,56.0,614,54.77717
0.26,very good,e,vvs2,62.9,56.0,614,42.88559
0.32,ideal,h,vvs2,62.3,57.0,614,51.397316
0.32,ideal,g,vs1,61.4,54.0,614,54.624638
0.39,ideal,e,si2,61.0,55.0,614,65.56842
0.3,very good,d,si1,58.8,63.0,614,47.919598
0.35,very good,h,vs1,62.6,58.0,614,57.231335
1.01,good,g,vvs2,62.4,61.0,7137,160.58334
1.01,good,g,vvs2,63.2,59.0,7137,158.85985
1.03,ideal,f,vs1,61.7,56.0,7137,170.62729
1.18,premium,g,vs2,62.3,62.0,7137,187.9194
1.51,very good,i,si2,62.9,58.0,7139,241.53366
1.51,fair,j,vs1,65.2,56.0,7139,236.72035
1.13,ideal,g,vs2,62.1,53.0,7140,188.0278
1.5,premium,i,si2,59.5,62.0,7140,243.67195
1.7,premium,i,si2,61.7,56.0,7140,272.53513
1.5,very good,i,si1,60.2,63.0,7140,239.64262
1.2,very good,i,if,59.1,61.0,7141,198.5167
1.21,premium,h,vs2,61.0,58.0,7142,197.46213
1.23,very good,e,si1,59.2,62.0,7143,205.296
1.32,good,i,vs1,59.2,58.0,7143,217.36443
1.56,premium,j,vs1,61.3,59.0,7144,260.3479
1.0,very good,e,si1,63.0,54.0,7145,163.63008
1.51,premium,g,si2,62.7,57.0,7145,244.7355
1.12,ideal,d,si1,61.2,58.0,7145,181.24176
1.51,ideal,i,si1,62.2,56.0,7145,243.45778
1.0,very good,d,vs2,61.5,63.0,7146,155.86647
1.46,very good,i,si1,62.5,57.0,7146,230.31009
1.31,good,g,si1,63.4,56.5,7147,210.68915
1.19,very good,h,vs1,62.4,59.0,7147,192.84007
1.13,ideal,g,vs2,61.9,56.0,7147,185.56639
1.33,ideal,i,vs2,61.1,54.0,7148,223.09286
1.06,very good,d,vs2,59.6,60.0,7149,178.84297
0.92,very good,d,vvs2,62.8,58.0,7150,147.07625
1.5,very good,i,si2,63.1,59.0,7150,235.01764
1.13,premium,g,vs2,61.9,58.0,7151,185.01245
1.19,very good,e,vs2,59.2,60.0,7152,197.95198
1.22,very good,h,vs1,58.9,59.0,7152,201.2999
1.19,good,h,vs1,60.8,61.0,7152,197.28262
1.12,ideal,d,si1,60.5,56.0,7153,187.17886
1.29,premium,h,vs2,61.2,60.0,7153,209.1144
1.05,premium,f,vs2,62.6,58.0,7154,170.7433
1.64,good,g,si2,63.8,58.0,7154,261.6693
1.22,premium,f,vs2,63.0,60.0,7154,197.60332
1.51,very good,g,si2,63.1,58.0,7154,236.52585
1.59,ideal,j,si2,62.1,54.0,7155,259.2572
1.17,ideal,g,vs1,59.4,57.0,7155,195.1973
1.05,ideal,g,vs1,61.3,57.0,7155,171.77158
1.56,premium,i,si1,61.7,59.0,7155,250.92592
1.42,ideal,i,si1,61.9,57.0,7157,230.04051
1.36,ideal,f,si2,62.0,56.0,7157,221.49072
1.13,ideal,g,vs2,61.6,57.0,7159,184.3947
1.06,ideal,g,vs2,62.8,55.0,7160,172.3796
1.5,good,h,si2,64.2,56.0,7161,242.54207
1.5,very good,h,si2,62.0,63.0,7161,237.1824
1.55,premium,e,si2,58.5,57.0,7161,258.61844
1.51,premium,i,si2,62.6,59.0,7162,243.20079
1.32,ideal,i,si1,62.0,57.0,7162,214.06175
1.51,good,j,si1,62.4,64.0,7162,239.9449
1.24,premium,f,si1,61.6,59.0,7162,203.69873
1.0,very good,g,vvs2,60.3,62.0,7163,160.41666
1.32,premium,h,si1,61.5,61.0,7163,211.78693
1.0,premium,g,vs1,59.7,59.0,7164,166.54951
1.01,ideal,g,vvs2,60.6,57.0,7167,167.91449
1.07,very good,g,vs1,62.8,58.0,7168,172.37836
1.0,ideal,e,vs2,59.6,57.0,7168,158.10469
1.0,premium,e,vs2,61.3,58.0,7168,160.31154
1.0,premium,e,vs2,63.0,58.0,7168,152.77875
1.0,premium,f,vs2,60.7,57.0,7168,164.76524
1.33,premium,h,si1,61.9,58.0,7171,213.26413
1.14,ideal,g,vs2,61.5,57.0,7171,184.94514
1.14,very good,g,vs1,63.4,58.0,7171,185.61345
1.32,very good,g,si2,61.6,57.0,7173,212.58289
1.1,very good,f,vs2,62.8,56.0,7174,178.54155
1.15,very good,g,vs2,60.1,60.0,7175,187.272
1.02,ideal,f,vs2,62.3,56.0,7175,167.1624
1.16,ideal,h,vs1,62.4,56.0,7175,189.21327
1.04,premium,e,vs2,61.1,59.0,7175,171.6096
1.27,very good,h,vs2,59.2,58.0,7176,212.81761
1.0,very good,g,vvs2,63.0,56.0,7177,163.88736
1.5,good,j,vs2,61.7,56.0,7177,237.95157
